frame,scenario,fps,preproc_ms,forward_ms,conf_filter_ms,nms_ms,total_ms,num_raw_boxes,num_final_boxes
101,digital,14.79,0.026,65.93,0.274,1.4,67.63,52,10
102,digital,26.9,0.025,36.0,0.275,0.876,37.18,66,7
103,digital,18.63,0.026,49.37,0.666,3.615,53.68,52,7
104,digital,16.82,0.055,55.95,0.346,3.097,59.45,67,8
105,digital,4.57,0.019,204.37,1.764,12.459,218.63,41,8
106,digital,4.88,0.084,192.01,1.23,11.685,205.02,69,10
107,digital,4.5,0.09,217.87,0.845,3.176,221.99,45,6
108,digital,7.66,0.035,123.69,0.994,5.739,130.47,51,5
109,digital,5.2,0.056,179.41,0.858,11.894,192.22,77,10
110,digital,6.49,0.079,148.84,1.074,4.175,154.18,40,4
111,digital,5.38,0.042,174.34,1.283,10.115,185.79,109,12
112,digital,3.95,0.036,248.74,0.74,3.655,253.18,42,4
113,digital,5.9,0.034,163.15,0.943,5.284,169.42,56,6
114,digital,6.02,0.046,159.85,0.944,5.134,165.98,90,9
115,digital,5.18,0.062,186.36,0.633,5.852,192.91,76,9
116,digital,4.94,0.039,197.46,1.048,3.689,202.24,49,5
117,digital,5.85,0.067,167.56,1.03,2.281,170.94,26,4
118,digital,5.88,0.036,161.54,0.985,7.443,170.02,67,12
119,digital,6.25,0.033,153.86,1.041,5.059,160.0,44,5
120,digital,6.41,0.074,148.08,0.809,6.922,155.89,61,10
