frame,scenario,fps,preproc_ms,forward_ms,conf_filter_ms,nms_ms,total_ms,num_raw_boxes,num_final_boxes
96,physical,5.91,0.037,164.71,0.641,3.824,169.21,36,5
97,physical,6.25,0.04,152.63,0.95,6.365,159.99,64,8
98,physical,7.02,0.041,137.58,0.665,4.166,142.46,61,8
99,physical,7.02,0.04,136.19,0.809,5.434,142.48,53,7
100,physical,7.58,0.068,126.09,1.474,4.249,131.89,32,5
101,physical,6.53,0.062,146.02,0.777,6.296,153.16,50,8
102,physical,4.95,0.056,196.99,0.626,4.532,202.21,68,8
103,physical,7.59,0.032,123.96,0.67,7.138,131.8,55,7
104,physical,5.46,0.052,177.86,0.764,4.571,183.26,58,7
105,physical,5.9,0.058,161.8,1.149,6.612,169.63,38,7
106,physical,4.68,0.081,206.34,0.663,6.723,213.82,73,10
107,physical,5.31,0.129,182.84,1.038,4.409,188.43,37,6
108,physical,7.58,0.053,128.3,0.667,2.817,131.84,35,4
109,physical,4.93,0.039,197.22,0.75,4.89,202.9,71,8
110,physical,7.76,0.039,125.23,0.715,2.934,128.93,40,4
111,physical,4.88,0.041,189.99,1.509,13.54,205.09,105,13
112,physical,3.94,0.094,249.62,0.725,3.458,253.91,44,4
113,physical,6.89,0.051,140.18,0.598,4.339,145.17,52,6
114,physical,5.89,0.058,163.12,0.645,5.898,169.73,100,10
115,physical,5.29,0.038,175.32,1.165,12.584,189.12,75,9
116,physical,4.76,0.071,206.23,0.7,3.303,210.3,39,5
117,physical,8.31,0.041,117.33,0.685,2.258,120.32,24,4
118,physical,6.2,0.037,153.42,0.867,6.994,161.33,65,10
119,physical,6.81,0.069,141.69,0.9,4.19,146.86,33,4
120,physical,7.02,0.049,136.76,0.612,4.977,142.4,59,9
